"code","country","year","htflowsunodc","mediafreedom","prostitutionlaw","prostitutionbrothel","englishspeaking","frenchspeaking","spanishspeaking","portuguesespeaking","germanspeaking","protestantpopulation","muslimpopulation","catholic2","britishlegal","socialistlegal","frenchlegal","germanlegal","scandinavianlegal","visaonothers","visaatborder2onothers","urbanization","trade_gdp","alq_m","literacy","alq_f","alq_agri","mort_5","democracy","reg_west_europe","reg_east_asia","reg_europe","reg_latam","reg_mideast","reg_sasia","reg_ssa","inc_low","inc_low_mid","pop_ln","gdp_pc_const_ppp_ln","stockmigrants1990_ln","tourism_in_ln","ruleWB_m","prosecution_m","protection_m","prevention_m","execrlc_right_m","id","_mi_id","_mi_miss","_st","_d","_t","_t0","_mi_m"
"BMU","Bermuda",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,11.0300388336182,NA,NA,12.8661804199219,1.25757968425751,NA,NA,NA,NA,26,26,1,1,1,26,0,0
"BOL","Bolivia",1995,NA,17,1,0,0,0,1,0,0,9,0,92.5,0,0,1,0,0,140,140,59.4000015258789,49.7379875183105,3.29798316955566,NA,3.99728202819824,NA,107.199996948242,1,0,0,0,1,0,0,0,0,1,15.8283023834229,8.0678186416626,4.08765554428101,12.5567293167114,-0.283320248126984,4,2,3,0,27,27,1,1,1,27,0,0
"BRA","Brazil",1995,1,30,1,0,0,0,0,1,0,16.4799995422363,0,87.8000030517578,0,0,1,0,0,140,140,77.8000030517578,16.0318088531494,5.09870529174805,NA,7.18962383270264,26.1000003814697,43.9000015258789,1,0,0,0,1,0,0,0,0,0,18.9012031555176,8.95204544067383,6.68273496627808,14.504147529602,-0.270976454019547,4.33333349227905,3.16666674613953,4.16666650772095,0.833333313465118,28,28,1,1,1,28,0,0
"BRB","Barbados",1995,NA,19,0,0,1,0,0,0,0,29.9599990844727,0,5.90000009536743,1,0,0,0,0,72,72,34.5,118.217308044434,16.6184978485107,NA,22.7138633728027,4.59999990463257,15.6999998092651,1,1,0,0,0,0,0,0,0,0,12.4606761932373,NA,3.0633909702301,12.9990653991699,1.16897594928741,2,1.5,2.25,0.833333313465118,29,29,1,1,1,29,0,0
"BRN","Brunei Darussalam",1995,2,73,0,0,0,0,0,0,0,0,67.2600021362305,3.20000004768372,1,0,0,0,0,157,157,68.5999984741211,115.543960571289,NA,NA,NA,NA,8.5,0,1,0,0,0,0,0,0,0,0,12.5946016311646,10.8259763717651,4.29319524765015,NA,0.594736814498901,2,2,1.79999995231628,0,30,30,1,1,1,30,0,0
"BTN","Bhutan",1995,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,191,20.5,85.0502014160156,NA,NA,NA,NA,125.199996948242,0,0,0,0,0,0,1,0,0,1,13.1396036148071,7.71154928207397,NA,8.51719284057617,0.272471100091934,NA,NA,NA,0,31,31,1,1,1,31,0,0
"BWA","Botswana",1995,0,28,0,0,0,0,0,0,0,12.8199996948242,0,9.39999961853027,1,0,0,0,0,139,139,49,89.0047225952148,NA,NA,NA,NA,77.5,0,0,0,0,0,0,0,1,0,0,14.2536897659302,8.93123149871826,3.31418609619141,13.1635055541992,0.557693660259247,2,2,2.66666674613953,1,32,32,1,1,1,32,0,0
"CAF","Central African Republic",1995,NA,65,1,0,0,1,0,0,0,25.6399993896484,15.1000003814697,33.0999984741211,0,0,1,0,0,173,173,37.2000007629395,48.0790328979492,NA,NA,NA,NA,183.100006103516,1,0,0,0,0,0,0,1,1,0,15.0198364257812,6.63044834136963,4.13836145401001,10.1658515930176,-1.46101832389832,2.20000004768372,1.39999997615814,2.59999990463257,0.333333343267441,33,33,1,1,1,33,0,0
"CAN","Canada",1995,4,18,1,0,1,1,0,0,0,27.8199996948242,0.939999997615814,46.5999984741211,1,0,0,0,0,149,149,77.6999969482422,71.4560012817383,9.79700374603271,NA,9.11610126495361,4.09999990463257,6.90000009536743,1,1,0,0,0,0,0,0,0,0,17.194938659668,10.2320013046265,8.41127681732178,16.6447162628174,1.77580797672272,5,3.16666674613953,4.83333349227905,0.666666686534882,34,34,1,1,1,34,0,0
"CHE","Switzerland",1995,4,10,1,1,0,1,0,0,1,39.9700012207031,0,52.7999992370605,0,0,0,1,0,119,119,73.5999984741211,66.7365875244141,2.94384050369263,NA,3.83233523368835,4.40000009536743,6.30000019073486,1,1,0,0,0,0,0,0,0,0,15.7672605514526,10.3739442825317,7.22722673416138,15.7536764144897,1.99819147586823,4.33333349227905,4,4,0,35,35,1,1,1,35,0,0
